x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter_id,bat_handR
64.36138,103.633484,17.159288,153.93747,-74.73411,119.14992,-33.49475,149.39938,-142.451,267.1704,2.256221,335.9193,132.90134,264.4047,543068,1
66.32832,103.54956,25.717287,151.95284,-73.40863,120.80069,-30.903843,150.33292,-142.02704,263.3561,2.2170327,329.64224,131.01385,258.85934,543228,1
75.91125,101.711205,45.430096,143.93324,-65.28564,129.51294,-6.254296,155.29391,-125.14928,262.7794,1.9728462,329.71716,144.16068,252.29472,543257,0
69.53755,103.20285,20.886135,153.17561,-74.67862,119.22056,-33.013313,149.57928,-140.06464,262.0724,3.9295044,328.5148,131.20251,254.55516,543257,1
65.12795,103.61231,14.333423,154.41248,-73.32808,120.89862,-34.613495,148.9698,-137.55981,261.29987,1.9709231,323.78864,130.40866,254.74962,543281,1
78.65484,100.71498,49.33563,141.68494,-65.85085,128.97383,-1.2863866,155.4913,-129.1523,260.62897,11.609616,324.136,150.63873,247.13329,543305,0
69.41488,103.22093,25.152802,152.1097,-72.65785,121.70325,-30.472452,150.48016,-143.002,265.4173,3.782377,335.27905,133.13371,261.23282,543305,1
65.83148,103.579926,17.513088,153.8718,-76.31753,117.074165,-35.83814,148.48083,-147.2572,260.93475,1.9629619,334.5192,130.6648,261.83392,543308,1
62.46669,103.62279,12.643528,154.65488,-74.38668,119.58995,-34.450985,149.0332,-146.44606,271.76144,-18.950315,336.3591,127.773415,271.57812,543309,1
73.3867,102.43434,40.72673,146.32735,-64.54335,130.20764,-8.701468,155.10065,-128.13196,265.39096,-6.7128305,330.78784,131.54732,253.56766,543333,0
64.43919,103.63201,19.182472,153.54318,-75.353546,118.35191,-34.253014,149.11,-144.99863,251.99275,-5.796737,336.27744,124.98721,270.41742,543482,1
70.05232,103.12267,28.477922,151.13116,-72.444885,121.955185,-25.68957,151.96063,-129.97736,273.833,17.15596,333.23938,134.2648,259.23703,543510,1
75.694916,101.78026,47.20576,142.94159,-60.8211,133.47804,0.0,155.5,-129.73074,274.30768,3.3214378,340.82874,136.92776,263.0855,543543,0
67.18735,103.48238,16.119274,154.12248,-72.82433,121.50506,-35.473316,148.62857,-135.36734,266.48166,4.6181765,327.7381,133.83624,254.3871,543592,1
72.61659,102.61975,45.940247,143.65344,-61.48897,132.9162,0.0,155.5,-129.39249,267.73026,-5.415567,337.87762,133.0327,256.00928,543685,0
68.115425,103.38883,29.637817,150.75851,-73.819824,120.2966,-28.67241,151.06982,-144.39676,269.67,0.47083092,334.55185,134.38583,264.8986,543685,1
64.8365,103.6221,7.7055125,155.18698,-76.03185,117.45751,-39.690075,146.81165,-145.31804,264.71756,0.40412346,331.77124,135.4077,258.328,543760,1
68.8199,103.30319,27.318737,151.48729,-74.091125,119.96011,-30.553743,150.45259,-148.42603,261.25513,-5.808344,333.7986,126.83703,266.85248,543807,1
66.88353,103.50827,30.28387,150.54381,-71.94223,122.54286,-24.39914,152.3133,-136.2462,266.22507,10.210756,325.77884,132.49226,257.60355,543877,1
75.508934,101.83855,45.099277,144.11253,-63.396675,131.25212,-4.097317,155.4116,-132.84763,251.66232,-3.716763,322.81726,134.36996,252.48894,543939,0
72.74647,102.589615,36.398872,148.25034,-70.249275,124.453415,-19.88755,153.39502,-136.31346,261.57657,-6.905259,326.44434,135.05798,254.04947,544725,0
69.6737,103.182304,29.273983,150.87717,-70.32794,124.366905,-25.023548,152.14508,-128.36014,262.84833,5.659391,323.74963,129.36255,256.98898,544725,1
75.30391,101.90164,47.541817,142.74826,-61.52184,132.88828,-2.2311711,155.47379,-123.56591,253.34224,-4.388636,318.2918,134.48557,247.01735,545121,0
66.80598,103.51451,13.883601,154.48004,-75.41399,118.273094,-38.91339,147.16457,-140.6385,256.91974,-6.824217,327.21683,128.06676,256.00272,545121,1
66.03825,103.56803,16.15579,154.11618,-75.91918,117.607605,-37.02287,147.98889,-146.94646,261.57397,-6.167686,339.46414,127.41954,264.24408,545341,1
63.970566,103.638626,17.44634,153.8843,-76.29125,117.10958,-36.220512,148.32411,-146.21887,257.17697,1.1357203,329.79047,131.20296,258.44846,545350,1
